,127
VE,127
ab,4278092425
ac,6757846780
ae,199655412
af,3007526118
ag,3378657289
ai,1043461189
am,3555598744
ap,4408510059
aq,85987041
at,5789948776
au,2467685520
av,1139452385
aw,737053305
ax,202828702
az,65996236
ba,6595188452
bi,2784251496
bl,2651498359
bo,6676813684
br,5845326798
bu,7489775550
by,6544563766
ce,3826102097
ci,2341981160
cl,5106511325
cr,4680873858
cu,3050285569
cy,481100156
da,4570543846
do,5680629083
dr,3536915645
du,2293814259
dw,149483253
dy,366999416
ea,3540154932
eb,55133411
ec,965185226
ed,1512886822
ef,1441565275
eg,511723113
ej,39447865
el,2979331777
em,2718906253
en,7705346551
ep,513412285
eq,1068550286
er,907197130
es,2507314848
et,1094163538
eu,617502238
ev,4676241773
ey,511484635
fa,7721398036
fe,4575846856
fl,2972251921
fu,3188258646
ga,3051695373
ge,5079755006
gh,134976482
gi,2443546110
gl,1444635570
gn,218336640
go,4911743643
gr,7805148498
gu,1604757606
gy,79303075
ho,7375269636
hu,2510754073
hy,883404306
ic,239298362
id,1310332004
ig,273255189
il,879444135
im,4690652169
io,230542804
ir,1070572657
is,7257527630
it,6794562461
ja,1565111273
je,1200529717
ji,145972025
jo,2386602310
ju,2733770623
ka,699596402
ke,1508855636
ki,2161208685
kn,1915803704
ko,360360339
le,8472937117
lo,7495477183
lu,1026823429
ly,349314440
mi,7123594364
mu,3860661863
my,2293589096
na,4415085333
ne,7746107067
ni,1410763906
nu,2012386102
ob,2666707122
oc,1537226287
od,207412386
og,42351406
oi,264931725
om,217054807
oo,61220300
op,2793753361
os,310561900
ou,4245497635
ov,2047483736
ow,1324080785
ox,338667792
oy,25565984
oz,22084018
ph,2539591262
pi,2500708655
pl,5339388249
ps,570540937
pt,52801143
pu,4086888925
py,155086509
qu,3624004812
ra,5460415220
rh,321185643
ri,3501418305
ro,4893247895
ru,2330084234
sa,7663459307
sc,4711477062
si,7695398125
sk,851931315
sl,1847452950
sm,1718949929
sn,707813648
sp,7055277250
sq,395961589
sw,1257637766
sy,2007385332
ta,4634212986
te,6744069353
ti,3789169089
tu,1801331536
tw,2278711824
ty,914801566
ug,57552405
ul,331658973
um,83094390
up,2808058425
ur,516381475
us,3815706239
ut,545310730
va,3584185914
ve,3817627225
vi,4317990723
vo,1773902428
vu,110550569
wo,7056554963
wr,1685804800
ya,333270454
ye,2318066432
yi,238864278
yo,4208822433
ze,306263600
zi,140433757
zo,206101469
